time_ms,2nd order (accel-bounded)_case1,3rd order (jerk-bounded)_case1,4th order (snap-bounded)_case1,4th order, tight snap (20000)_case1,2nd order (accel-bounded)_case3b,3rd order (jerk-bounded)_case3b,4th order (snap-bounded)_case3b,4th order, tight snap (20000)_case3b
5.600,340802.708,-33217.815,-103091.417,-108844.059,-37622.271,7693.380,-4378.386,-6497.010
5.700,354091.684,-27464.743,-100497.595,-106644.053,-42763.163,6604.049,-5089.502,-7278.965
5.800,367309.051,-21634.930,-97893.202,-104451.964,-47545.101,5543.553,-5738.993,-7997.940
5.900,380447.903,-15729.974,-95278.785,-102268.786,-51937.070,4519.205,-6322.345,-8649.334
6.000,393501.616,-9751.475,-92654.849,-100095.466,-55911.471,3537.976,-6835.612,-9229.132
6.100,406463.842,-3701.031,-90021.857,-97932.906,-59444.316,2606.433,-7275.456,-9733.935
6.200,419328.508,2419.763,-87380.232,-95781.967,-62515.398,1730.692,-7639.159,-10160.978
6.300,432089.809,8609.317,-84730.355,-93643.463,-65108.415,916.370,-7924.644,-10508.152
6.400,444742.207,14866.043,-82072.572,-91518.169,-67211.060,168.538,-8130.488,-10774.007
6.500,457280.422,21188.363,-79407.188,-89406.817,-68815.073,-508.322,-8255.920,-10957.759
6.600,469699.434,27574.704,-76734.470,-87310.099,-69916.259,-1110.353,-8300.827,-11059.287
6.700,481994.472,34023.500,-74054.653,-85228.665,-70514.471,-1634.349,-8265.739,-11079.125
6.800,494161.014,40533.195,-71367.934,-83163.129,-70613.548,-2077.783,-8151.824,-11018.449
6.900,506194.782,47102.244,-68674.477,-81114.064,-70221.237,-2438.817,-7960.864,-10879.057
7.000,518091.735,53729.111,-65974.411,-79082.006,-69349.063,-2716.316,-7695.234,-10663.346
7.100,529848.064,60412.272,-63267.836,-77067.455,-68012.187,-2909.846,-7357.875,-10374.283
7.200,541460.191,67150.215,-60554.818,-75070.874,-66229.220,-3019.676,-6952.260,-10015.372
7.300,552924.762,73941.441,-57835.394,-73092.693,-64022.019,-3046.763,-6482.360,-9590.617
7.400,564238.642,80784.466,-55109.571,-71133.305,-61415.460,-2992.742,-5952.602,-9104.479
7.500,575398.910,87677.818,-52377.328,-69193.071,-58437.195,-2859.901,-5367.837,-8561.841
7.600,586402.855,94620.041,-49638.616,-67272.319,-55117.419,-2651.156,-4733.300,-7967.963
7.700,597247.970,101609.695,-46893.360,-65371.345,-51488.638,-2370.022,-4054.566,-7328.450
7.800,607931.952,108645.356,-44141.459,-63490.413,-47585.430,-2020.572,-3337.509,-6649.203
