v,a,j,s,cost,failing,label,j_map,t_wafer
0.8000,20.00,1600,100000,150.59514,49,Center,2.00000,15.23
1.2573,41.51,3112,364762,272.73118,49,Center,2.00000,13.29
0.9067,42.40,4116,1419,3.94420,49,Center,2.00000,26.20
1.3146,6.34,3702,87869,66.23200,49,Center,2.00000,29.77
1.3221,26.66,1639,211372,141.46176,49,Center,2.00000,15.37
0.2368,9.97,3419,323612,111.15512,49,Center,2.00000,16.99
0.9024,40.00,4000,46324,97.40804,49,Center,2.00000,15.26
1.0188,42.62,4425,182759,253.98125,49,Center,2.00000,13.29
0.9067,42.40,4116,1419,3.94420,49,Center,2.00000,26.20
0.8141,9.30,3897,69681,97.42481,49,Center,2.00000,19.10
1.0869,31.03,1953,40793,56.27996,49,Center,2.00000,16.27
0.5792,14.76,4033,73637,199.42904,49,Center,2.00000,15.47
0.9676,45.00,5000,50,3.45895,0,none,0.04271,51.00
0.8107,43.06,4905,50,3.37854,0,none,0.04271,49.68
0.9067,42.40,4116,1419,3.94420,49,Center,2.00000,26.20
0.6803,17.82,4017,50,3.47710,0,none,0.04271,50.91
0.9355,45.00,4002,50,3.46411,0,none,0.04271,51.08
0.8659,20.09,3848,96357,170.23211,49,Center,2.00000,15.06
0.9498,45.00,5000,50,3.44830,0,none,0.04271,50.84
0.6858,43.33,5000,50,3.31920,0,none,0.04271,48.55
0.8324,42.95,5000,1140,3.83276,49,Center,2.00000,26.80
0.6758,37.82,4102,50,3.34095,0,none,0.04271,48.86
0.6798,45.00,5000,50,3.31362,0,none,0.04271,48.46
0.6426,27.13,3843,304283,356.84323,49,Center,2.00000,13.38
0.8197,45.00,5000,50,3.37775,0,none,0.04271,49.66
0.6036,44.07,5000,50,3.28012,0,none,0.04271,47.85
0.6679,44.94,5000,170,2.77790,0,none,0.04271,37.55
0.6732,45.00,5000,50,3.31018,0,none,0.04271,48.41
0.5263,45.00,5000,50,3.25419,0,none,0.04271,47.24
0.2279,31.64,3877,271260,126.96709,49,Center,2.00000,16.45
0.5470,45.00,5000,50,3.26101,0,none,0.04271,47.40
0.6149,44.90,5000,50,3.28524,0,none,0.04271,47.93
0.5691,45.00,5000,50,3.26937,0,none,0.04271,47.57
0.6655,45.00,5000,50,3.30612,0,none,0.04271,48.34
0.6312,45.00,5000,50,3.29067,0,none,0.04271,48.06
0.4823,37.72,4696,223768,441.09520,49,Center,2.00000,13.63
0.4523,45.00,5000,50,3.23342,0,none,0.04271,46.70
0.6820,44.60,5000,50,3.31532,0,none,0.04271,48.49
0.6989,45.00,5000,50,3.32001,0,none,0.04271,48.62
0.6625,45.00,5000,50,3.30453,0,none,0.04271,48.32
0.7221,45.00,5000,50,3.33386,0,none,0.04271,48.82
0.6984,17.72,4309,186341,278.65150,49,Center,2.00000,14.62
0.6146,45.00,5000,50,3.28504,0,none,0.04271,47.93
0.6465,44.22,5000,50,3.30044,0,none,0.04271,48.20
0.7387,45.00,5000,148,2.81751,0,none,0.04271,39.08
0.6608,45.00,5000,50,3.30355,0,none,0.04271,48.30
0.5791,45.00,5000,50,3.27089,0,none,0.04271,47.65
0.4162,32.51,4237,161681,239.81490,49,Center,2.00000,14.25
