scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,1599.9,0
1,-0.032,-0.128,3982.0,1
2,-0.016,-0.128,3982.1,1
3,0.000,-0.128,3982.1,1
4,0.016,-0.128,3982.1,1
5,0.032,-0.128,3982.1,1
6,0.048,-0.128,3731.7,0
7,0.080,-0.112,5934.0,1
8,0.064,-0.112,3731.7,0
9,0.048,-0.112,3731.7,0
10,0.032,-0.112,3731.7,0
11,0.016,-0.112,3731.7,0
12,0.000,-0.112,3731.7,0
13,-0.016,-0.112,3982.1,1
14,-0.032,-0.112,3982.1,1
15,-0.048,-0.112,3982.1,1
16,-0.064,-0.112,3982.1,1
17,-0.080,-0.112,3982.0,1
18,-0.096,-0.096,1730.2,0
19,-0.080,-0.096,3981.5,1
20,-0.064,-0.096,3982.1,1
21,-0.048,-0.096,3982.1,1
22,-0.032,-0.096,3982.1,1
23,-0.016,-0.096,3982.1,1
24,0.000,-0.096,3982.1,1
25,0.016,-0.096,3982.1,1
26,0.032,-0.096,3982.1,1
27,0.048,-0.096,3982.1,1
28,0.064,-0.096,3982.1,1
29,0.080,-0.096,3982.0,1
30,0.096,-0.096,3982.1,1
31,0.112,-0.080,6321.1,1
32,0.096,-0.080,3982.0,1
33,0.080,-0.080,3982.1,1
34,0.064,-0.080,3982.1,1
35,0.048,-0.080,3982.1,1
36,0.032,-0.080,3982.1,1
37,0.016,-0.080,3982.1,1
38,0.000,-0.080,3982.1,1
39,-0.016,-0.080,3982.1,1
40,-0.032,-0.080,3982.1,1
41,-0.048,-0.080,3982.1,1
42,-0.064,-0.080,3982.1,1
43,-0.080,-0.080,3982.0,1
44,-0.096,-0.080,3982.1,1
45,-0.112,-0.080,3982.0,1
46,-0.112,-0.064,1730.2,0
47,-0.096,-0.064,3981.5,1
48,-0.080,-0.064,3982.0,1
49,-0.064,-0.064,3982.1,1
50,-0.048,-0.064,3982.1,1
51,-0.032,-0.064,3982.1,1
52,-0.016,-0.064,3982.1,1
53,0.000,-0.064,3982.1,1
54,0.016,-0.064,3982.1,1
55,0.032,-0.064,3982.1,1
56,0.048,-0.064,3982.1,1
57,0.064,-0.064,3982.1,1
58,0.080,-0.064,3982.1,1
59,0.096,-0.064,3982.0,1
60,0.112,-0.064,3982.0,1
61,0.128,-0.048,6321.1,1
62,0.112,-0.048,3982.0,1
63,0.096,-0.048,3982.0,1
64,0.080,-0.048,3982.0,1
65,0.064,-0.048,3982.1,1
66,0.048,-0.048,3982.1,1
67,0.032,-0.048,3982.1,1
68,0.016,-0.048,3982.1,1
69,0.000,-0.048,3982.1,1
70,-0.016,-0.048,3982.1,1
71,-0.032,-0.048,3982.1,1
72,-0.048,-0.048,3982.1,1
73,-0.064,-0.048,3982.1,1
74,-0.080,-0.048,3982.1,1
75,-0.096,-0.048,3982.0,1
76,-0.112,-0.048,3982.0,1
77,-0.128,-0.048,3982.0,1
78,-0.128,-0.032,1730.2,0
79,-0.112,-0.032,3981.5,1
80,-0.096,-0.032,3982.0,1
81,-0.080,-0.032,3982.1,1
82,-0.064,-0.032,3982.1,1
83,-0.048,-0.032,3982.1,1
84,-0.032,-0.032,3982.1,1
85,-0.016,-0.032,3982.1,1
86,0.000,-0.032,3982.1,1
87,0.016,-0.032,3982.1,1
88,0.032,-0.032,3982.1,1
89,0.048,-0.032,3982.1,1
90,0.064,-0.032,3982.1,1
91,0.080,-0.032,3982.0,1
92,0.096,-0.032,3982.0,1
93,0.112,-0.032,3982.0,1
94,0.128,-0.032,3982.0,1
95,0.128,-0.016,6321.1,1
96,0.112,-0.016,3982.0,1
97,0.096,-0.016,3982.0,1
98,0.080,-0.016,3982.0,1
99,0.064,-0.016,3982.1,1
100,0.048,-0.016,3982.1,1
101,0.032,-0.016,3982.1,1
102,0.016,-0.016,3982.1,1
103,0.000,-0.016,3982.1,1
104,-0.016,-0.016,3982.1,1
105,-0.032,-0.016,3982.1,1
106,-0.048,-0.016,3982.1,1
107,-0.064,-0.016,3982.1,1
108,-0.080,-0.016,3982.1,1
109,-0.096,-0.016,3731.7,0
110,-0.112,-0.016,3731.7,0
111,-0.128,-0.016,3731.7,0
112,-0.128,0.000,1683.4,0
113,-0.112,0.000,3731.1,0
114,-0.096,0.000,3731.7,0
115,-0.080,0.000,3731.7,0
116,-0.064,0.000,3731.7,0
117,-0.048,0.000,3731.7,0
118,-0.032,0.000,3731.7,0
119,-0.016,0.000,3731.7,0
120,0.000,0.000,3731.7,0
121,0.016,0.000,3731.7,0
122,0.032,0.000,3731.7,0
123,0.048,0.000,3731.7,0
124,0.064,0.000,3731.7,0
125,0.080,0.000,3731.7,0
126,0.096,0.000,3731.7,0
127,0.112,0.000,3731.7,0
128,0.128,0.000,3731.7,0
129,0.128,0.016,5934.0,1
130,0.112,0.016,3731.7,0
131,0.096,0.016,3731.7,0
132,0.080,0.016,3731.7,0
133,0.064,0.016,3731.7,0
134,0.048,0.016,3731.7,0
135,0.032,0.016,3731.7,0
136,0.016,0.016,3731.7,0
137,0.000,0.016,3731.7,0
138,-0.016,0.016,3731.7,0
139,-0.032,0.016,3731.7,0
140,-0.048,0.016,3731.7,0
141,-0.064,0.016,3731.7,0
142,-0.080,0.016,3731.7,0
143,-0.096,0.016,3731.7,0
144,-0.112,0.016,3731.7,0
145,-0.128,0.016,3731.7,0
146,-0.128,0.032,1683.4,0
147,-0.112,0.032,3731.1,0
148,-0.096,0.032,3731.7,0
149,-0.080,0.032,3731.7,0
150,-0.064,0.032,3731.7,0
151,-0.048,0.032,3731.7,0
152,-0.032,0.032,3731.7,0
153,-0.016,0.032,3731.7,0
154,0.000,0.032,3731.7,0
155,0.016,0.032,3731.7,0
156,0.032,0.032,3731.7,0
157,0.048,0.032,3731.7,0
158,0.064,0.032,3731.7,0
159,0.080,0.032,3731.7,0
160,0.096,0.032,3731.7,0
161,0.112,0.032,3731.7,0
162,0.128,0.032,3731.7,0
163,0.128,0.048,5934.0,1
164,0.112,0.048,3731.7,0
165,0.096,0.048,3731.7,0
166,0.080,0.048,3731.7,0
167,0.064,0.048,3731.7,0
168,0.048,0.048,3731.7,0
169,0.032,0.048,3731.7,0
170,0.016,0.048,3731.7,0
171,0.000,0.048,3731.7,0
172,-0.016,0.048,3731.7,0
