time_ms,case1,case2,case3a,case3b
52.700,1004543.340,-58565.453,-7198.274,-4418.675
52.800,1002069.697,-59196.816,-7282.529,-4556.338
52.900,999546.299,-59832.753,-7361.289,-4692.225
53.000,996973.026,-60473.131,-7434.146,-4825.295
53.100,994349.764,-61117.821,-7500.741,-4954.538
53.200,991676.402,-61766.689,-7560.776,-5078.980
53.300,988952.837,-62419.605,-7614.004,-5197.691
53.400,986178.968,-63076.437,-7660.242,-5309.798
53.500,983354.702,-63737.056,-7699.366,-5414.482
53.600,980479.948,-64401.331,-7731.309,-5510.993
53.700,977554.623,-65069.133,-7756.070,-5598.651
53.800,974578.645,-65740.335,-7773.703,-5676.852
53.900,971551.939,-66414.807,-7784.323,-5745.075
54.000,968474.434,-67092.422,-7788.101,-5802.880
54.100,965346.061,-67773.056,-7785.263,-5849.915
54.200,962166.758,-68456.582,-7776.089,-5885.917
54.300,958936.476,-69142.867,-7760.897,-5910.706
54.400,955655.203,-69831.743,-7740.018,-5924.156
54.500,952322.969,-70523.007,-7713.786,-5926.200
54.600,948939.850,-71216.417,-7682.535,-5916.819
54.700,945505.965,-71911.692,-7646.595,-5896.052
54.800,942021.476,-72608.521,-7606.291,-5863.989
54.900,938486.585,-73306.558,-7561.939,-5820.777
55.000,934901.542,-74005.426,-7513.845,-5766.615
55.100,931266.634,-74704.721,-7462.302,-5701.755
55.200,927582.193,-75404.011,-7407.589,-5626.497
55.300,923848.589,-76102.842,-7349.968,-5541.189
55.400,920066.235,-76800.738,-7289.685,-5446.224
55.500,916235.583,-77497.203,-7226.965,-5342.037
55.600,912357.122,-78191.723,-7162.015,-5229.103
55.700,908431.382,-78883.773,-7095.021,-5107.931
55.800,904458.928,-79572.811,-7026.148,-4979.066
55.900,900440.362,-80258.287,-6955.540,-4843.078
56.000,896376.321,-80939.641,-6883.318,-4700.563
56.100,892267.476,-81616.307,-6809.585,-4552.137
56.200,888114.532,-82287.713,-6734.420,-4398.435
56.300,883918.226,-82953.286,-6657.883,-4240.099
56.400,879679.323,-83612.448,-6580.013,-4077.782
56.500,875398.622,-84264.625,-6500.831,-3912.140
56.600,871076.948,-84909.242,-6420.341,-3743.826
56.700,866715.154,-85545.725,-6338.529,-3573.488
56.800,862314.119,-86173.508,-6255.366,-3401.765
56.900,857874.746,-86792.026,-6170.809,-3229.280
57.000,853397.964,-87400.724,-6084.803,-3056.639
57.100,848884.721,-87999.051,-5997.283,-2884.426
57.200,844335.989,-88586.465,-5908.173,-2713.198
57.300,839752.759,-89162.433,-5817.392,-2543.483
57.400,835136.041,-89726.432,-5724.851,-2375.776
57.500,830486.862,-90277.949,-5630.460,-2210.537
57.600,825806.265,-90816.481,-5534.127,-2048.183
57.700,821095.309,-91341.538,-5435.757,-1889.090
57.800,816355.066,-91852.640,-5335.260,-1733.587
57.900,811586.621,-92349.322,-5232.548,-1581.959
58.000,806791.072,-92831.129,-5127.538,-1434.440
58.100,801969.526,-93297.621,-5020.155,-1291.218
58.200,797123.098,-93748.371,-4910.331,-1152.432
58.300,792252.915,-94182.966,-4798.007,-1018.171
58.400,787360.109,-94601.005,-4683.137,-888.478
58.500,782445.818,-95002.104,-4565.684,-763.349
58.600,777511.185,-95385.891,-4445.627,-642.734
58.700,772557.358,-95752.009,-4322.958,-526.541
58.800,767585.489,-96100.117,-4197.681,-414.635
58.900,762596.730,-96429.886,-4069.819,-306.844
59.000,757592.237,-96741.003,-3939.408,-202.960
59.100,752573.165,-97033.170,-3806.500,-102.742
59.200,747540.669,-97306.102,-3671.164,-5.920
59.300,742495.902,-97559.531,-3533.484,87.804
59.400,737440.016,-97793.201,-3393.560,178.747
59.500,732374.160,-98006.872,-3251.505,267.246
59.600,727299.480,-98200.318,-3107.451,353.653
59.700,722217.118,-98373.327,-2961.540,438.331
59.800,717128.209,-98525.702,-2813.928,521.646
59.900,712033.884,-98657.259,-2664.785,603.972
60.000,706935.268,-98767.829,-2514.290,685.678
60.100,701833.479,-98857.257,-2362.633,767.129
60.200,696729.627,-98925.401,-2210.013,848.681
60.300,691624.814,-98972.133,-2056.636,930.678
60.400,686520.133,-98997.337,-1902.713,1013.446
60.500,681416.671,-99000.912,-1748.463,1097.296
60.600,676315.500,-98982.770,-1594.103,1182.512
60.700,671217.688,-98942.835,-1439.856,1269.357
60.800,666124.287,-98881.044,-1285.943,1358.067
60.900,661036.341,-98797.347,-1132.583,1448.850
61.000,655954.884,-98691.705,-979.994,1541.886
61.100,650880.934,-98564.092,-828.386,1637.322
61.200,645815.500,-98414.495,-677.966,1735.277
61.300,640759.579,-98242.910,-528.933,1835.836
61.400,635714.154,-98049.346,-381.476,1939.049
61.500,630680.194,-97833.824,-235.774,2044.937
61.600,625658.656,-97596.375,-91.996,2153.486
61.700,620650.484,-97337.040,49.703,2264.649
61.800,615656.607,-97055.873,189.180,2378.346
61.900,610677.940,-96752.936,326.307,2494.468
62.000,605715.384,-96428.302,460.971,2612.873
62.100,600769.826,-96082.054,593.075,2733.393
62.200,595842.138,-95714.284,722.537,2855.830
62.300,590933.176,-95325.093,849.293,2979.961
62.400,586043.783,-94914.594,973.295,3105.541
62.500,581174.787,-94482.906,1094.512,3232.302
62.600,576326.998,-94030.157,1212.930,3359.960
62.700,571501.215,-93556.484,1328.552,3488.216
62.800,566698.217,-93062.032,1441.396,3616.759
62.900,561918.772,-92546.955,1551.497,3745.270
63.000,557163.630,-92011.413,1658.906,3873.425
63.100,552433.525,-91455.573,1763.689,4000.896
63.200,547729.178,-90879.612,1865.924,4127.356
63.300,543051.293,-90283.712,1965.703,4252.481
63.400,538400.558,-89668.062,2063.131,4375.952
63.500,533777.646,-89032.857,2158.324,4497.458
63.600,529183.215,-88378.298,2251.405,4616.700
63.700,524617.908,-87704.595,2342.511,4733.390
63.800,520082.350,-87011.959,2431.781,4847.256
63.900,515577.154,-86300.610,2519.364,4958.044
64.000,511102.915,-85570.772,2605.412,5065.516
64.100,506660.215,-84822.675,2690.082,5169.459
64.200,502249.620,-84056.552,2773.529,5269.677
64.300,497871.681,-83272.642,2855.915,5366.001
64.400,493526.934,-82471.188,2937.395,5458.286
64.500,489215.899,-81652.437,3018.127,5546.410
64.600,484939.085,-80816.640,3098.264,5630.278
64.700,480696.982,-79964.051,3177.952,5709.823
64.800,476490.069,-79094.929,3257.336,5785.001
64.900,472318.809,-78209.535,3336.550,5855.798
65.000,468183.652,-77308.133,3415.723,5922.221
65.100,464085.033,-76390.990,3494.974,5984.308
65.200,460023.374,-75458.375,3574.411,6042.119
65.300,455999.082,-74510.562,3654.134,6095.738
65.400,452012.553,-73547.823,3734.231,6145.272
65.500,448064.168,-72570.435,3814.777,6190.850
65.600,444154.295,-71578.676,3895.836,6232.622
65.700,440283.290,-70572.825,3977.459,6270.756
65.800,436451.495,-69553.163,4059.685,6305.436
65.900,432659.241,-68519.972,4142.540,6336.862
66.000,428906.845,-67473.536,4226.034,6365.250
66.100,425194.614,-66414.137,4310.170,6390.825
66.200,421522.841,-65342.061,4394.932,6413.828
66.300,417891.809,-64257.592,4480.297,6434.510
66.400,414301.789,-63161.015,4566.228,6453.131
66.500,410753.039,-62052.617,4652.675,6469.958
66.600,407245.810,-60932.682,4739.580,6485.265
66.700,403780.338,-59801.494,4826.874,6499.325
66.800,400356.850,-58659.340,4914.478,6512.414
66.900,396975.564,-57506.504,5002.306,6524.806
67.000,393636.686,-56343.268,5090.264,6536.772
67.100,390340.412,-55169.916,5178.250,6548.576
67.200,387086.931,-53986.729,5266.158,6560.474
67.300,383876.419,-52793.989,5353.878,6572.715
67.400,380709.044,-51591.974,5441.296,6585.533
67.500,377584.966,-50380.964,5528.295,6599.151
67.600,374504.336,-49161.234,5614.757,6613.774
67.700,371467.295,-47933.061,5700.566,6629.594
67.800,368473.978,-46696.716,5785.604,6646.782
67.900,365524.508,-45452.473,5869.756,6665.492
68.000,362619.005,-44200.600,5952.912,6685.856
68.100,359757.578,-42941.366,6034.963,6707.985
68.200,356940.329,-41675.036,6115.808,6731.971
68.300,354167.355,-40401.873,6195.349,6757.879
68.400,351438.741,-39122.140,6273.496,6785.753
68.500,348754.556,-37836.108,6350.152,6815.601
68.600,346114.841,-36544.067,6425.210,6847.386
68.700,343519.613,-35246.323,6498.552,6881.028
68.800,340968.860,-33943.199,6570.051,6916.407
68.900,338462.546,-32635.032,6639.570,6953.362
69.000,336000.609,-31322.174,6706.968,6991.696
69.100,333582.963,-30004.992,6772.095,7031.173
69.200,331209.494,-28683.864,6834.799,7071.527
69.300,328880.068,-27359.180,6894.927,7112.461
69.400,326594.522,-26031.339,6952.323,7153.652
69.500,324352.673,-24700.750,7006.835,7194.752
69.600,322154.314,-23367.830,7058.312,7235.395
69.700,319999.215,-22033.000,7106.607,7275.199
69.800,317887.124,-20696.690,7151.582,7313.768
69.900,315817.766,-19359.331,7193.104,7350.700
70.000,313790.849,-18021.360,7231.052,7385.589
70.100,311806.056,-16683.215,7265.314,7418.026
70.200,309863.055,-15345.334,7295.789,7447.609
70.300,307961.491,-14008.156,7322.393,7473.944
70.400,306100.992,-12672.122,7345.053,7496.647
70.500,304281.169,-11337.667,7363.713,7515.351
70.600,302501.617,-10005.226,7378.333,7529.708
70.700,300761.911,-8675.233,7388.890,7539.393
70.800,299061.615,-7348.114,7395.380,7544.110
70.900,297400.275,-6024.294,7397.814,7543.589
71.000,295777.424,-4704.191,7396.223,7537.597
71.100,294192.581,-3388.219,7390.656,7525.932
71.200,292645.255,-2076.785,7381.180,7508.428
71.300,291134.939,-770.291,7367.879,7484.959
71.400,289661.118,530.871,7350.857,7455.437
71.500,288223.264,1826.313,7330.233,7419.814
71.600,286820.842,3115.656,7306.141,7378.084
71.700,285453.306,4398.530,7278.733,7330.282
71.800,284120.102,5674.571,7248.175,7276.487
71.900,282820.668,6943.425,7214.644,7216.818
72.000,281554.436,8204.747,7178.333,7151.435
72.100,280320.830,9458.200,7139.441,7080.537
72.200,279119.270,10703.457,7098.182,7004.362
72.300,277949.169,11940.198,7054.774,6923.183
72.400,276809.938,13168.116,7009.442,6837.307
72.500,275700.981,14386.910,6962.418,6747.072
72.600,274621.703,15596.290,6913.935,6652.845
72.700,273571.501,16795.976,6864.230,6555.020
72.800,272549.774,17985.698,6813.537,6454.012
72.900,271555.918,19165.193,6762.093,6350.257
73.000,270589.327,20334.211,6710.126,6244.207
73.100,269649.397,21492.510,6657.866,6136.326
73.200,268735.521,22639.858,6605.530,6027.087
73.300,267847.094,23776.032,6553.333,5916.968
73.400,266983.512,24900.819,6501.478,5806.451
73.500,266144.173,26014.017,6450.158,5696.012
73.600,265328.475,27115.431,6399.556,5586.124
73.700,264535.819,28204.878,6349.838,5477.250
73.800,263765.610,29282.181,6301.163,5369.840
73.900,263017.255,30347.177,6253.669,5264.326
74.000,262290.163,31399.708,6207.483,5161.123
74.100,261583.748,32439.627,6162.715,5060.621
74.200,260897.431,33466.796,6119.457,4963.186
74.300,260230.632,34481.086,6077.786,4869.156
74.400,259582.781,35482.377,6037.762,4778.835
74.500,258953.309,36470.557,5999.426,4692.499
74.600,258341.654,37445.522,5962.805,4610.387
74.700,257747.262,38407.179,5927.907,4532.700
74.800,257169.581,39355.440,5894.725,4459.604
74.900,256608.068,40290.229,5863.233,4391.226
75.000,256062.185,41211.475,5833.395,4327.654
75.100,255531.402,42119.117,5805.154,4268.936
75.200,255015.194,43013.100,5778.444,4215.080
75.300,254513.044,43893.378,5753.185,4166.058
75.400,254024.444,44759.912,5729.282,4121.800
75.500,253548.891,45612.671,5706.633,4082.201
75.600,253085.890,46451.631,5685.124,4047.119
75.700,252634.954,47276.775,5664.633,4016.378
75.800,252195.606,48088.093,5645.032,3989.768
75.900,251767.374,48885.582,5626.185,3967.050
76.000,251349.796,49669.245,5607.953,3947.956
76.100,250942.417,50439.093,5590.194,3932.192
76.200,250544.792,51195.142,5572.763,3919.441
76.300,250156.482,51937.415,5555.516,3909.366
76.400,249777.060,52665.940,5538.308,3901.614
76.500,249406.104,53380.753,5520.997,3895.817
76.600,249043.204,54081.893,5503.447,3891.593
76.700,248687.956,54769.407,5485.522,3888.556
76.800,248339.967,55443.347,5467.097,3886.313
76.900,247998.851,56103.769,5448.050,3884.473
77.000,247664.231,56750.735,5428.269,3882.644
77.100,247335.741,57384.313,5407.651,3880.443
77.200,247013.021,58004.574,5386.101,3877.494
77.300,246695.721,58611.595,5363.538,3873.435
77.400,246383.502,59205.456,5339.888,3867.919
77.500,246076.030,59786.244,5315.092,3860.616
77.600,245772.984,60354.048,5289.102,3851.219
77.700,245474.047,60908.962,5261.882,3839.441
77.800,245178.915,61451.083,5233.409,3825.025
77.900,244887.291,61980.513,5203.674,3807.738
78.000,244598.887,62497.357,5172.678,3787.377
78.100,244313.424,63001.724,5140.436,3763.774
78.200,244030.630,63493.726,5106.977,3736.788
78.300,243750.244,63973.477,5072.338,3706.317
78.400,243472.012,64441.096,5036.572,3672.290
78.500,243195.689,64896.704,4999.738,3634.670
78.600,242921.037,65340.425,4961.909,3593.458
78.700,242647.829,65772.385,4923.167,3548.683
78.800,242375.843,66192.713,4883.601,3500.414
78.900,242104.868,66601.540,4843.309,3448.748
79.000,241834.699,66999.001,4802.396,3393.814
79.100,241565.140,67385.229,4760.971,3335.774
79.200,241296.003,67760.364,4719.151,3274.816
79.300,241027.106,68124.543,4677.055,3211.155
79.400,240758.277,68477.909,4634.803,3145.032
79.500,240489.350,68820.604,4592.521,3076.708
79.600,240220.166,69152.772,4550.331,3006.467
79.700,239950.576,69474.557,4508.358,2934.608
79.800,239680.435,69786.108,4466.722,2861.447
79.900,239409.606,70087.570,4425.542,2787.309
80.000,239137.961,70379.093,4384.935,2712.530
80.100,238865.376,70660.827,4345.010,2637.454
80.200,238591.735,70932.921,4305.872,2562.423
80.300,238316.928,71195.526,4267.620,2487.785
80.400,238040.854,71448.794,4230.344,2413.881
80.500,237763.414,71692.876,4194.128,2341.048
80.600,237484.519,71927.924,4159.046,2269.616
80.700,237204.084,72154.091,4125.164,2199.900
80.800,236922.030,72371.529,4092.536,2132.204
80.900,236638.286,72580.390,4061.209,2066.815
81.000,236352.783,72780.827,4031.216,2004.001
81.100,236065.462,72972.993,4002.582,1944.009
81.200,235776.265,73157.038,3975.322,1887.064
81.300,235485.142,73333.115,3949.437,1833.365
81.400,235192.047,73501.375,3924.920,1783.085
81.500,234896.941,73661.969,3901.752,1736.371
81.600,234599.787,73815.047,3879.905,1693.340
81.700,234300.555,73960.759,3859.341,1654.079
81.800,233999.218,74099.252,3840.010,1618.646
81.900,233695.754,74230.677,3821.857,1587.069
82.000,233390.147,74355.179,3804.815,1559.345
82.100,233082.383,74472.904,3788.813,1535.441
82.200,232772.452,74583.999,3773.768,1515.294
82.300,232460.351,74688.608,3759.595,1498.812
82.400,232146.077,74786.873,3746.202,1485.875
82.500,231829.633,74878.937,3733.492,1476.336
82.600,231511.026,74964.941,3721.364,1470.024
82.700,231190.264,75045.023,3709.715,1466.741
82.800,230867.360,75119.323,3698.439,1466.270
82.900,230542.330,75187.977,3687.430,1468.372
83.000,230215.194,75251.120,3676.581,1472.788
83.100,229885.973,75308.887,3665.786,1479.245
83.200,229554.693,75361.410,3654.940,1487.456
83.300,229221.380,75408.819,3643.943,1497.122
83.400,228886.065,75451.246,3632.696,1507.936
83.500,228548.781,75488.816,3621.104,1519.586
83.600,228209.562,75521.657,3609.077,1531.757
83.700,227868.446,75549.892,3596.534,1544.131
83.800,227525.473,75573.646,3583.395,1556.397
83.900,227180.683,75593.038,3569.590,1568.245
84.000,226834.120,75608.188,3555.056,1579.374
84.100,226485.829,75619.214,3539.738,1589.493
84.200,226135.857,75626.231,3523.589,1598.324
84.300,225784.252,75629.354,3506.570,1605.603
84.400,225431.065,75628.695,3488.651,1611.082
84.500,225076.347,75624.364,3469.812,1614.534
84.600,224720.151,75616.469,3450.040,1615.750
84.700,224362.529,75605.117,3429.333,1614.544
84.800,224003.539,75590.413,3407.697,1610.755
84.900,223643.235,75572.460,3385.146,1604.243
85.000,223281.674,75551.359,3361.704,1594.897
85.100,222918.915,75527.208,3337.403,1582.632
85.200,222555.016,75500.106,3312.281,1567.387
85.300,222190.036,75470.146,3286.385,1549.134
85.400,221824.035,75437.423,3259.770,1527.867
85.500,221457.074,75402.028,3232.496,1503.609
85.600,221089.214,75364.051,3204.628,1476.411
85.700,220720.516,75323.579,3176.237,1446.348
85.800,220351.041,75280.698,3147.400,1413.518
85.900,219980.852,75235.493,3118.194,1378.047
86.000,219610.009,75188.044,3088.704,1340.080
86.100,219238.576,75138.432,3059.013,1299.784
86.200,218866.614,75086.735,3029.208,1257.346
86.300,218494.186,75033.030,2999.375,1212.969
86.400,218121.353,74977.391,2969.602,1166.874
86.500,217748.177,74919.891,2939.975,1119.294
86.600,217374.720,74860.601,2910.579,1070.475
86.700,217001.043,74799.590,2881.496,1020.669
86.800,216627.207,74736.926,2852.805,970.141
86.900,216253.272,74672.673,2824.584,919.155
87.000,215879.300,74606.895,2796.904,867.982
87.100,215505.349,74539.655,2769.832,816.892
87.200,215131.480,74471.013,2743.431,766.154
87.300,214757.750,74401.027,2717.755,716.030
87.400,214384.217,74329.754,2692.857,666.780
87.500,214010.940,74257.250,2668.778,618.654
87.600,213637.975,74183.567,2645.555,571.891
87.700,213265.378,74108.759,2623.218,526.719
87.800,212893.204,74032.875,2601.790,483.353
87.900,212521.508,73955.964,2581.285,441.991
88.000,212150.344,73878.073,2561.710,402.814
88.100,211779.765,73799.248,2543.066,365.987
88.200,211409.823,73719.533,2525.346,331.654
88.300,211040.568,73638.971,2508.534,299.939
88.400,210672.051,73557.603,2492.610,270.946
88.500,210304.322,73475.468,2477.545,244.756
88.600,209937.429,73392.605,2463.306,221.428
88.700,209571.420,73309.051,2449.850,201.000
88.800,209206.340,73224.841,2437.133,183.487
88.900,208842.235,73140.010,2425.102,168.882
89.000,208479.149,73054.590,2413.702,157.156
89.100,208117.126,72968.614,2402.873,148.260
89.200,207756.208,72882.111,2392.551,142.121
89.300,207396.437,72795.111,2382.669,138.651
89.400,207037.852,72707.641,2373.159,137.736
89.500,206680.492,72619.729,2363.950,139.249
89.600,206324.396,72531.400,2354.969,143.041
89.700,205969.600,72442.677,2346.145,148.949
89.800,205616.140,72353.586,2337.406,156.792
89.900,205264.051,72264.147,2328.679,166.377
90.000,204913.366,72174.383,2319.896,177.500
90.100,204564.118,72084.313,2310.988,189.944
90.200,204216.338,71993.956,2301.890,203.485
90.300,203870.056,71903.331,2292.540,217.891
90.400,203525.302,71812.455,2282.878,232.929
90.500,203182.103,71721.344,2272.850,248.359
90.600,202840.487,71630.014,2262.406,263.944
90.700,202500.478,71538.480,2251.500,279.447
90.800,202162.103,71446.755,2240.093,294.633
90.900,201825.384,71354.851,2228.149,309.276
91.000,201490.345,71262.782,2215.639,323.153
91.100,201157.006,71170.559,2202.541,336.054
91.200,200825.388,71078.191,2188.837,347.777
91.300,200495.511,70985.690,2174.516,358.134
91.400,200167.392,70893.064,2159.575,366.949
91.500,199841.050,70800.322,2144.013,374.063
91.600,199516.499,70707.472,2127.839,379.333
91.700,199193.757,70614.520,2111.066,382.633
91.800,198872.836,70521.475,2093.713,383.857
91.900,198553.750,70428.341,2075.804,382.915
92.000,198236.512,70335.124,2057.370,379.742
92.100,197921.132,70241.830,2038.445,374.288
92.200,197607.622,70148.463,2019.067,366.528
92.300,197295.990,70055.027,1999.282,356.457
92.400,196986.245,69961.525,1979.135,344.090
92.500,196678.394,69867.961,1958.677,329.463
92.600,196372.445,69774.336,1937.961,312.633
92.700,196068.391,69680.642,1917.031,293.662
92.800,195766.207,69586.850,1895.914,272.616
92.900,195465.849,69492.914,1874.621,249.555
93.000,195167.248,69398.764,1853.141,224.540
93.100,194870.318,69304.316,1831.447,197.626
93.200,194574.952,69209.464,1809.495,168.867
93.300,194281.019,69114.088,1787.224,138.312
93.400,193988.372,69018.052,1764.556,106.007
93.500,193696.841,68921.203,1741.399,71.994
93.600,193406.238,68823.377,1717.648,36.312
93.700,193116.354,68724.397,1693.186,-1.005
93.800,192826.960,68624.074,1667.885,-39.923
93.900,192537.810,68522.209,1641.606,-80.414
94.000,192248.637,68418.594,1614.206,-122.454
94.100,191959.158,68313.014,1585.534,-166.018
94.200,191669.071,68205.246,1555.436,-211.086
94.300,191378.055,68095.061,1523.756,-257.640
94.400,191085.776,67982.227,1490.336,-305.662
94.500,190791.879,67866.507,1455.023,-355.135
94.600,190495.997,67747.658,1417.664,-406.046
94.700,190197.744,67625.441,1378.114,-458.380
94.800,189896.722,67499.610,1336.231,-512.120
94.900,189592.517,67369.920,1291.886,-567.253
95.000,189284.702,67236.128,1244.956,-623.761
95.100,188972.837,67097.989,1195.331,-681.628
95.200,188656.468,66955.261,1142.915,-740.834
95.300,188335.131,66807.703,1087.625,-801.357
95.400,188008.350,66655.077,1029.391,-863.175
95.500,187675.637,66497.147,968.162,-926.260
95.600,187336.494,66333.680,903.901,-990.582
95.700,186990.415,66164.449,836.591,-1056.110
95.800,186636.884,65989.228,766.231,-1122.806
95.900,186275.375,65807.798,692.838,-1190.630
96.000,185905.358,65619.943,616.448,-1259.539
96.100,185526.291,65425.453,537.114,-1329.485
96.200,185137.629,65224.122,454.909,-1400.415
96.300,184738.819,65015.751,369.921,-1472.274
96.400,184329.303,64800.146,282.258,-1545.001
96.500,183908.517,64577.118,192.041,-1618.533
96.600,183475.894,64346.485,99.410,-1692.803
96.700,183030.862,64108.070,4.518,-1767.738
96.800,182572.845,63861.704,-92.469,-1843.263
96.900,182101.264,63607.223,-191.371,-1919.302
97.000,181615.540,63344.469,-291.999,-1995.773
97.100,181115.089,63073.292,-394.151,-2072.593
97.200,180599.326,62793.547,-497.619,-2149.677
97.300,180067.666,62505.096,-602.189,-2226.940
97.400,179519.523,62207.807,-707.639,-2304.295
97.500,178954.308,61901.557,-813.746,-2381.657
97.600,178371.437,61586.227,-920.283,-2458.942
97.700,177770.323,61261.706,-1027.023,-2536.066
97.800,177150.380,60927.888,-1133.742,-2612.947
97.900,176511.025,60584.675,-1240.218,-2689.507
98.000,175851.676,60231.975,-1346.232,-2765.667
98.100,175171.753,59869.703,-1451.573,-2841.353
98.200,174470.678,59497.780,-1556.036,-2916.494
98.300,173747.875,59116.133,-1659.426,-2991.021
98.400,173002.772,58724.697,-1761.559,-3064.870
98.500,172234.801,58323.410,-1862.261,-3137.978
98.600,171443.396,57912.220,-1961.370,-3210.290
98.700,170627.995,57491.079,-2058.740,-3281.751
98.800,169788.042,57059.945,-2154.238,-3352.313
98.900,168922.983,56618.784,-2247.747,-3421.929
99.000,168032.270,56167.566,-2339.165,-3490.558
99.100,167115.359,55706.267,-2428.407,-3558.165
99.200,166171.711,55234.869,-2515.406,-3624.715
99.300,165200.794,54753.361,-2600.110,-3690.180
99.400,164202.079,54261.736,-2682.486,-3754.535
99.500,163175.045,53759.992,-2762.517,-3817.759
99.600,162119.174,53248.135,-2840.203,-3879.836
99.700,161033.957,52726.174,-2915.561,-3940.752
99.800,159918.889,52194.125,-2988.624,-4000.497
99.900,158773.472,51652.007,-3059.441,-4059.065
100.000,157597.214,51099.845,-3128.075,-4116.452
100.100,156389.632,50537.670,-3194.604,-4172.657
100.200,155150.245,49965.516,-3259.118,-4227.682
100.300,153878.583,49383.424,-3321.720,-4281.532
100.400,152574.182,48791.436,-3382.523,-4334.214
100.500,151236.583,48189.603,-3441.651,-4385.735
100.600,149865.335,47577.977,-3499.236,-4436.106
100.700,148459.996,46956.616,-3555.417,-4485.339
100.800,147020.130,46325.581,-3610.339,-4533.444
100.900,145545.306,45684.938,-3664.153,-4580.437
101.000,144035.104,45034.756,-3717.010,-4626.330
101.100,142489.109,44375.109,-3769.066,-4671.140
101.200,140906.914,43706.075,-3820.475,-4714.884
101.300,139288.120,43027.733,-3871.392,-4757.581
101.400,137632.335,42340.168,-3921.967,-4799.253
101.500,135939.175,41643.467,-3972.350,-4839.921
101.600,134208.262,40937.723,-4022.682,-4879.609
101.700,132439.227,40223.028,-4073.101,-4918.344
101.800,130631.709,39499.480,-4123.736,-4956.153
101.900,128785.352,38767.179,-4174.710,-4993.063
102.000,126899.810,38026.228,-4226.133,-5029.104
102.100,124974.744,37276.733,-4278.108,-5064.306
102.200,123009.821,36518.802,-4330.726,-5098.701
102.300,121004.717,35752.544,-4384.066,-5132.321
102.400,118959.115,34978.075,-4438.197,-5165.196
102.500,116872.705,34195.508,-4493.172,-5197.361
102.600,114745.185,33404.962,-4549.035,-5228.846
102.700,112576.259,32606.556,-4605.815,-5259.684
102.800,110365.640,31800.412,-4663.526,-5289.907
102.900,108113.047,30986.653,-4722.173,-5319.545
103.000,105818.207,30165.403,-4781.745,-5348.630
103.100,103480.852,29336.791,-4842.219,-5377.189
103.200,101100.725,28500.943,-4903.561,-5405.251
103.300,98677.571,27657.991,-4965.723,-5432.843
103.400,96211.145,26808.064,-5028.648,-5459.991
103.500,93701.209,25951.294,-5092.265,-5486.717
103.600,91147.530,25087.817,-5156.497,-5513.044
103.700,88549.883,24217.764,-5221.257,-5538.991
103.800,85908.048,23341.273,-5286.447,-5564.577
103.900,83221.814,22458.479,-5351.965,-5589.819
104.000,80490.975,21569.519,-5417.701,-5614.729
104.100,77715.330,20674.530,-5483.541,-5639.321
104.200,74894.685,19773.650,-5549.367,-5663.603
104.300,72028.854,18867.019,-5615.058,-5687.584
104.400,69117.656,17954.774,-5680.489,-5711.270
104.500,66160.913,17037.056,-5745.537,-5734.663
104.600,63158.458,16114.003,-5810.078,-5757.765
104.700,60110.125,15185.755,-5873.991,-5780.576
104.800,57015.757,14252.452,-5937.156,-5803.093
104.900,53875.201,13314.233,-5999.457,-5825.312
105.000,50688.308,12371.238,-6060.784,-5847.228
105.100,47454.938,11423.605,-6121.031,-5868.832
105.200,44174.954,10471.475,-6180.098,-5890.116
105.300,40848.223,9514.985,-6237.895,-5911.070
105.400,37474.619,8554.274,-6294.338,-5931.683
105.500,34054.019,7589.480,-6349.352,-5951.941
105.600,30586.308,6620.740,-6402.871,-5971.833
105.700,27071.372,5648.191,-6454.841,-5991.344
105.800,23509.103,4671.968,-6505.215,-6010.461
105.900,19899.398,3692.207,-6553.959,-6029.172
106.000,16242.159,2709.043,-6601.048,-6047.465
106.100,12537.290,1722.609,-6646.471,-6065.328
106.200,8784.700,733.037,-6690.224,-6082.751
106.300,4984.303,-259.540,-6732.317,-6099.723
106.400,1136.017,-1254.991,-6772.768,-6116.234
106.500,-2760.239,-2253.187,-6811.609,-6132.277
106.600,-6704.539,-3253.999,-6848.879,-6147.842
106.700,-10696.954,-4257.300,-6884.627,-6162.923
106.800,-14737.543,-5262.952,-6918.903,-6177.503
106.900,-18826.328,-6270.789,-6951.732,-6191.535
107.000,-22963.286,-7280.604,-6983.106,-6204.933
107.100,-27148.354,-8292.152,-7012.988,-6217.571
107.200,-31381.424,-9305.154,-7041.307,-6229.291
107.300,-35662.344,-10319.295,-7067.965,-6239.898
107.400,-39990.923,-11334.229,-7092.836,-6249.167
107.500,-44366.924,-12349.577,-7115.766,-6256.842
107.600,-48790.072,-13364.935,-7136.577,-6262.644
107.700,-53260.049,-14379.870,-7155.071,-6266.269
107.800,-57776.496,-15393.927,-7171.029,-6267.395
107.900,-62339.014,-16406.629,-7184.216,-6265.685
108.000,-66947.165,-17417.481,-7194.383,-6260.788
108.100,-71600.474,-18425.967,-7201.271,-6252.348
108.200,-76298.425,-19431.561,-7204.613,-6240.005
108.300,-81040.468,-20433.722,-7204.139,-6223.399
108.400,-85826.016,-21431.899,-7199.577,-6202.174
108.500,-90654.446,-22425.532,-7190.659,-6175.985
108.600,-95525.103,-23414.053,-7177.121,-6144.498
108.700,-100437.297,-24396.893,-7158.708,-6107.397
