time_ms,case1,case2,case3a,case3b
11.000,49081.659,66199.574,7548.933,7848.553
11.100,52232.019,66413.374,7099.472,7382.611
11.200,55402.344,66630.500,6627.603,6884.767
11.300,58593.180,66851.190,6138.201,6359.936
11.400,61805.074,67075.672,5636.239,5813.212
11.500,65038.575,67304.170,5126.738,5249.829
11.600,68294.235,67536.900,4614.729,4675.108
11.700,71572.604,67774.071,4105.208,4094.423
11.800,74874.236,68015.887,3603.088,3513.148
11.900,78199.683,68262.542,3113.164,2936.619
12.000,81549.497,68514.227,2640.067,2370.082
12.100,84924.232,68771.121,2188.228,1818.659
12.200,88324.437,69033.402,1761.844,1287.297
12.300,91750.662,69301.237,1364.839,780.735
12.400,95203.456,69574.787,1000.836,303.461
12.500,98683.366,69854.206,673.130,-140.323
12.600,102190.936,70139.643,384.659,-546.739
12.700,105726.706,70431.237,137.988,-912.264
12.800,109291.217,70729.124,-64.715,-1233.758
12.900,112885.004,71033.429,-221.690,-1508.488
13.000,116508.600,71344.273,-331.596,-1734.150
13.100,120162.533,71661.770,-393.519,-1908.883
13.200,123847.329,71986.027,-406.975,-2031.279
13.300,127563.508,72317.144,-371.910,-2100.395
13.400,131311.588,72655.216,-288.693,-2115.755
13.500,135092.080,73000.329,-158.113,-2077.351
13.600,138905.492,73352.564,18.638,-1985.635
13.700,142752.325,73711.996,239.974,-1841.515
13.800,146633.077,74078.694,503.938,-1646.337
13.900,150548.240,74452.719,808.220,-1401.872
14.000,154498.301,74834.128,1150.182,-1110.292
14.100,158483.739,75222.970,1526.886,-774.152
14.200,162505.029,75619.289,1935.117,-396.362
14.300,166562.631,76023.115,2371.411,19.832
14.400,170656.963,76434.435,2832.062,470.851
14.500,174788.399,76853.194,3313.145,952.810
14.600,178957.266,77279.291,3810.561,1461.555
14.700,183163.844,77712.584,4320.065,1992.697
14.800,187408.368,78152.889,4837.311,2541.655
14.900,191691.025,78599.980,5357.889,3103.694
15.000,196011.957,79053.599,5877.363,3673.968
15.100,200371.259,79513.449,6391.311,4247.570
15.200,204768.982,79979.202,6895.366,4819.571
15.300,209205.131,80450.500,7385.250,5385.068
15.400,213679.667,80926.958,7856.811,5939.224
15.500,218192.504,81408.164,8306.064,6477.312
15.600,222743.516,81893.684,8729.215,6994.751
15.700,227332.533,82383.061,9122.700,7487.148
15.800,231959.341,82875.824,9483.212,7950.330
15.900,236623.688,83371.480,9807.727,8380.379
16.000,241325.278,83869.527,10093.527,8773.662
16.100,246063.778,84369.446,10338.225,9126.857
16.200,250838.816,84870.711,10539.778,9436.981
16.300,255649.981,85372.787,10696.506,9701.407
16.400,260496.828,85875.129,10807.101,9917.885
16.500,265378.874,86377.191,10870.635,10084.555
16.600,270295.603,86878.420,10886.569,10199.956
16.700,275246.466,87378.263,10854.747,10263.039
16.800,280230.882,87876.165,10775.403,10273.164
16.900,285248.238,88371.571,10649.149,10230.104
17.000,290297.892,88863.929,10476.967,10134.042
17.100,295379.173,89352.687,10260.204,9985.561
17.200,300491.385,89837.298,10000.549,9785.638
17.300,305633.803,90317.222,9700.019,9535.628
17.400,310805.678,90791.920,9360.943,9237.254
17.500,316006.238,91260.862,8985.933,8892.595
