scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,1688.6,0
1,-0.032,-0.128,3521.1,0
2,-0.016,-0.128,3521.1,0
3,0.000,-0.128,3521.1,0
4,0.016,-0.128,3521.1,0
5,0.032,-0.128,3521.1,0
6,0.048,-0.128,3297.9,0
7,0.080,-0.112,5207.4,1
8,0.064,-0.112,3297.8,0
9,0.048,-0.112,3297.9,0
10,0.032,-0.112,3297.9,0
11,0.016,-0.112,3297.9,0
12,0.000,-0.112,3297.9,0
13,-0.016,-0.112,3521.1,0
14,-0.032,-0.112,3521.1,0
15,-0.048,-0.112,3521.1,0
16,-0.064,-0.112,3521.1,0
17,-0.080,-0.112,3521.1,0
18,-0.096,-0.096,1690.2,0
19,-0.080,-0.096,3521.1,0
20,-0.064,-0.096,3521.1,0
21,-0.048,-0.096,3521.1,0
22,-0.032,-0.096,3521.1,0
23,-0.016,-0.096,3521.1,0
24,0.000,-0.096,3521.1,0
25,0.016,-0.096,3521.1,0
26,0.032,-0.096,3521.1,0
27,0.048,-0.096,3521.1,0
28,0.064,-0.096,3521.1,0
29,0.080,-0.096,3521.1,0
30,0.096,-0.096,3521.1,0
31,0.112,-0.080,5547.3,1
32,0.096,-0.080,3521.1,0
33,0.080,-0.080,3521.1,0
34,0.064,-0.080,3521.1,0
35,0.048,-0.080,3521.1,0
36,0.032,-0.080,3521.1,0
37,0.016,-0.080,3521.1,0
38,0.000,-0.080,3521.1,0
39,-0.016,-0.080,3521.1,0
40,-0.032,-0.080,3521.1,0
41,-0.048,-0.080,3521.1,0
42,-0.064,-0.080,3521.1,0
43,-0.080,-0.080,3521.1,0
44,-0.096,-0.080,3521.1,0
45,-0.112,-0.080,3521.1,0
46,-0.112,-0.064,1690.2,0
47,-0.096,-0.064,3521.1,0
48,-0.080,-0.064,3521.1,0
49,-0.064,-0.064,3521.1,0
50,-0.048,-0.064,3521.1,0
51,-0.032,-0.064,3521.1,0
52,-0.016,-0.064,3521.1,0
53,0.000,-0.064,3521.1,0
54,0.016,-0.064,3521.1,0
55,0.032,-0.064,3521.1,0
56,0.048,-0.064,3521.1,0
57,0.064,-0.064,3521.1,0
58,0.080,-0.064,3521.1,0
59,0.096,-0.064,3521.1,0
60,0.112,-0.064,3521.1,0
61,0.128,-0.048,5547.3,1
62,0.112,-0.048,3521.1,0
63,0.096,-0.048,3521.1,0
64,0.080,-0.048,3521.1,0
