scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,1840.8,0
1,-0.032,-0.128,6935.6,1
2,-0.016,-0.128,6935.5,1
3,0.000,-0.128,6935.5,1
4,0.016,-0.128,6935.5,1
5,0.032,-0.128,6935.5,1
6,0.048,-0.128,6935.5,1
7,0.080,-0.112,9958.9,1
8,0.064,-0.112,6541.8,1
9,0.048,-0.112,6541.8,1
10,0.032,-0.112,6541.8,1
11,0.016,-0.112,6541.8,1
12,0.000,-0.112,6541.8,1
13,-0.016,-0.112,6541.8,1
14,-0.032,-0.112,6541.8,1
15,-0.048,-0.112,6935.5,1
16,-0.064,-0.112,6935.5,1
17,-0.080,-0.112,6935.5,1
18,-0.096,-0.096,3353.2,0
19,-0.080,-0.096,6933.0,1
20,-0.064,-0.096,6935.5,1
21,-0.048,-0.096,6935.5,1
22,-0.032,-0.096,6935.5,1
23,-0.016,-0.096,6935.5,1
24,0.000,-0.096,6935.5,1
25,0.016,-0.096,6935.5,1
26,0.032,-0.096,6935.5,1
27,0.048,-0.096,6935.5,1
28,0.064,-0.096,6935.5,1
29,0.080,-0.096,6935.5,1
30,0.096,-0.096,6935.5,1
31,0.112,-0.080,10560.1,1
32,0.096,-0.080,6935.5,1
33,0.080,-0.080,6935.5,1
34,0.064,-0.080,6935.5,1
35,0.048,-0.080,6935.5,1
36,0.032,-0.080,6935.5,1
37,0.016,-0.080,6935.5,1
38,0.000,-0.080,6935.5,1
39,-0.016,-0.080,6935.5,1
40,-0.032,-0.080,6935.5,1
41,-0.048,-0.080,6935.5,1
42,-0.064,-0.080,6935.5,1
43,-0.080,-0.080,6935.5,1
44,-0.096,-0.080,6935.5,1
45,-0.112,-0.080,6935.5,1
46,-0.112,-0.064,3353.2,0
47,-0.096,-0.064,6933.0,1
48,-0.080,-0.064,6935.5,1
49,-0.064,-0.064,6935.5,1
50,-0.048,-0.064,6935.5,1
51,-0.032,-0.064,6935.5,1
52,-0.016,-0.064,6935.5,1
53,0.000,-0.064,6935.5,1
54,0.016,-0.064,6935.5,1
55,0.032,-0.064,6935.5,1
