scan_idx,x,y,ma_nm,msd_nm,fail
0,0.000,-0.128,1171.3,111.0,1
1,0.064,-0.096,1269.6,173.8,1
2,0.032,-0.096,1231.2,153.1,1
3,0.000,-0.096,1231.2,153.1,1
4,-0.032,-0.096,1228.3,151.2,1
5,-0.064,-0.096,1228.3,151.2,1
6,-0.096,-0.064,1180.8,122.0,1
7,-0.064,-0.064,1228.3,151.2,1
8,-0.032,-0.064,1228.3,151.2,1
9,0.000,-0.064,1231.2,153.1,1
10,0.032,-0.064,1231.2,153.1,1
11,0.064,-0.064,1231.2,153.1,1
12,0.096,-0.064,1231.2,153.1,1
13,0.096,-0.032,1269.6,173.8,1
14,0.064,-0.032,1231.2,153.1,1
15,0.032,-0.032,1231.2,153.1,1
16,0.000,-0.032,1231.2,153.1,1
17,-0.032,-0.032,1231.2,153.1,1
18,-0.064,-0.032,1231.2,153.1,1
19,-0.096,-0.032,1231.2,153.1,1
20,-0.128,0.000,1182.3,123.1,1
21,-0.096,0.000,1231.2,153.1,1
22,-0.064,0.000,1231.2,153.1,1
23,-0.032,0.000,1231.2,153.1,1
24,0.000,0.000,1231.2,153.1,1
25,0.032,0.000,1231.2,153.1,1
26,0.064,0.000,1231.2,153.1,1
27,0.096,0.000,1231.2,153.1,1
28,0.128,0.000,1231.2,153.1,1
29,0.096,0.032,1269.6,173.8,1
30,0.064,0.032,1231.2,153.1,1
31,0.032,0.032,1231.2,153.1,1
32,0.000,0.032,1231.2,153.1,1
33,-0.032,0.032,1231.2,153.1,1
34,-0.064,0.032,1231.2,153.1,1
35,-0.096,0.032,1231.2,153.1,1
36,-0.096,0.064,1182.4,123.1,1
37,-0.064,0.064,1231.2,153.1,1
38,-0.032,0.064,1231.2,153.1,1
39,0.000,0.064,1231.2,153.1,1
40,0.032,0.064,1231.2,153.1,1
41,0.064,0.064,1231.2,153.1,1
42,0.096,0.064,1231.2,153.1,1
43,0.064,0.096,1269.6,173.8,1
44,0.032,0.096,1231.2,153.1,1
45,0.000,0.096,1231.2,153.1,1
46,-0.032,0.096,1231.2,153.1,1
47,-0.064,0.096,1231.2,153.1,1
48,0.000,0.128,1182.4,123.1,1
