scan_idx,x,y,ma_nm,msd_nm,fail
0,0.000,-0.128,640.2,55.0,1
1,0.064,-0.096,664.1,63.1,1
2,0.032,-0.096,642.7,48.8,1
3,0.000,-0.096,642.7,48.8,1
4,-0.032,-0.096,641.2,48.7,1
5,-0.064,-0.096,641.2,48.7,1
6,-0.096,-0.064,613.9,51.5,1
7,-0.064,-0.064,641.2,48.7,1
8,-0.032,-0.064,642.7,48.8,1
9,0.000,-0.064,642.7,48.8,1
10,0.032,-0.064,642.7,48.8,1
11,0.064,-0.064,642.7,48.8,1
12,0.096,-0.064,642.7,48.8,1
13,0.096,-0.032,664.1,63.1,1
14,0.064,-0.032,642.7,48.8,1
15,0.032,-0.032,642.7,48.8,1
16,0.000,-0.032,642.7,48.8,1
17,-0.032,-0.032,642.7,48.8,1
18,-0.064,-0.032,642.7,48.8,1
19,-0.096,-0.032,642.7,48.8,1
20,-0.128,0.000,615.1,51.5,1
21,-0.096,0.000,642.7,48.8,1
22,-0.064,0.000,642.7,48.8,1
23,-0.032,0.000,642.7,48.8,1
24,0.000,0.000,642.7,48.8,1
25,0.032,0.000,642.7,48.8,1
26,0.064,0.000,642.7,48.8,1
27,0.096,0.000,642.7,48.8,1
28,0.128,0.000,642.7,48.8,1
29,0.096,0.032,664.1,63.1,1
30,0.064,0.032,642.7,48.8,1
31,0.032,0.032,642.7,48.8,1
32,0.000,0.032,642.7,48.8,1
33,-0.032,0.032,642.7,48.8,1
34,-0.064,0.032,642.7,48.8,1
35,-0.096,0.032,642.7,48.8,1
36,-0.096,0.064,615.1,51.5,1
37,-0.064,0.064,642.7,48.8,1
38,-0.032,0.064,642.7,48.8,1
39,0.000,0.064,642.7,48.8,1
40,0.032,0.064,642.7,48.8,1
41,0.064,0.064,642.7,48.8,1
42,0.096,0.064,642.7,48.8,1
43,0.064,0.096,664.1,63.1,1
44,0.032,0.096,642.7,48.8,1
45,0.000,0.096,642.7,48.8,1
46,-0.032,0.096,642.7,48.8,1
47,-0.064,0.096,642.7,48.8,1
48,0.000,0.128,615.1,51.5,1
