scan_idx,x,y,ma_nm,msd_nm,fail
0,0.000,-0.128,28.5,0.5,0
1,0.064,-0.096,28.7,0.5,0
2,0.032,-0.096,28.7,0.5,0
3,0.000,-0.096,28.7,0.5,0
4,-0.032,-0.096,28.7,0.5,0
5,-0.064,-0.096,28.7,0.5,0
6,-0.096,-0.064,28.7,0.5,0
7,-0.064,-0.064,28.7,0.5,0
8,-0.032,-0.064,28.7,0.5,0
9,0.000,-0.064,28.7,0.5,0
10,0.032,-0.064,28.7,0.5,0
11,0.064,-0.064,28.7,0.5,0
12,0.096,-0.064,28.7,0.5,0
13,0.096,-0.032,28.7,0.5,0
14,0.064,-0.032,28.7,0.5,0
15,0.032,-0.032,28.7,0.5,0
16,0.000,-0.032,28.7,0.5,0
17,-0.032,-0.032,28.7,0.5,0
18,-0.064,-0.032,28.7,0.5,0
19,-0.096,-0.032,28.7,0.5,0
20,-0.128,0.000,28.7,0.5,0
21,-0.096,0.000,28.7,0.5,0
22,-0.064,0.000,28.7,0.5,0
23,-0.032,0.000,28.7,0.5,0
24,0.000,0.000,28.7,0.5,0
25,0.032,0.000,28.7,0.5,0
26,0.064,0.000,28.7,0.5,0
27,0.096,0.000,28.7,0.5,0
28,0.128,0.000,28.7,0.5,0
29,0.096,0.032,28.7,0.5,0
30,0.064,0.032,28.7,0.5,0
31,0.032,0.032,28.7,0.5,0
32,0.000,0.032,28.7,0.5,0
33,-0.032,0.032,28.7,0.5,0
34,-0.064,0.032,28.7,0.5,0
35,-0.096,0.032,28.7,0.5,0
36,-0.096,0.064,28.7,0.5,0
37,-0.064,0.064,28.7,0.5,0
38,-0.032,0.064,28.7,0.5,0
39,0.000,0.064,28.7,0.5,0
40,0.032,0.064,28.7,0.5,0
41,0.064,0.064,28.7,0.5,0
42,0.096,0.064,28.7,0.5,0
43,0.064,0.096,28.7,0.5,0
44,0.032,0.096,28.7,0.5,0
45,0.000,0.096,28.7,0.5,0
46,-0.032,0.096,28.7,0.5,0
47,-0.064,0.096,28.7,0.5,0
48,0.000,0.128,28.7,0.5,0
