v,a,j,s,cost,failing,label,j_map,t_wafer
0.8000,20.00,1600,100000,0.96460,4,none,0.03785,15.23
1.2573,41.51,3112,366101,0.54487,0,none,0.04271,13.29
0.9067,42.40,4116,6356,2.25472,4,none,0.03785,20.31
1.3146,6.34,3702,91950,4.48643,0,none,0.04271,29.75
1.3221,26.66,1639,214230,0.63303,0,none,0.04271,15.37
0.2368,9.97,3419,325359,2.03682,49,Center,2.00000,16.98
1.2389,39.59,3057,244889,0.58886,0,none,0.04271,13.56
1.2573,41.51,3112,366101,0.54487,0,none,0.04271,13.29
1.0989,41.29,3797,253856,0.64029,0,none,0.04271,13.17
1.2442,9.23,3424,149629,2.65392,0,none,0.04271,22.73
1.2854,30.79,1826,337620,0.53164,0,none,0.04271,14.58
0.7584,14.63,3148,378243,0.97294,4,none,0.03785,15.34
1.5000,39.08,2296,391547,0.48947,0,none,0.04271,14.11
1.2736,30.48,1831,328936,0.53108,0,none,0.04271,14.58
1.2181,27.92,1397,500000,0.58593,0,none,0.04271,15.01
1.2296,17.97,1463,397129,1.02876,0,none,0.04271,16.72
1.2633,33.26,1938,411654,0.53747,0,none,0.04271,14.23
1.4084,18.92,1428,406180,1.06670,0,none,0.04271,17.23
1.5000,38.77,1839,479542,0.49204,0,none,0.04271,14.44
1.5000,30.61,1251,342830,0.68528,0,none,0.04271,15.77
1.5000,29.18,1024,500000,0.83438,0,none,0.04271,16.33
1.3781,37.97,298,500000,2.70097,0,none,0.04271,23.21
1.5000,33.52,2395,381572,0.49058,0,none,0.04271,14.46
1.5000,27.63,1901,367069,0.58460,0,none,0.04271,15.39
1.5000,38.89,2348,309698,0.49479,0,none,0.04271,14.17
1.4482,33.45,1862,382313,0.48346,0,none,0.04271,14.68
1.3917,37.65,1353,495979,0.48988,0,none,0.04271,14.96
1.3595,45.00,2698,415534,0.56577,0,none,0.04271,13.42
1.5000,38.36,2535,364532,0.49932,0,none,0.04271,14.05
1.5000,44.49,2233,357142,0.49041,0,none,0.04271,13.96
1.4992,38.11,2536,302707,0.52759,0,none,0.04271,14.13
1.4171,35.15,2228,406002,0.48745,0,none,0.04271,14.22
1.3423,37.98,1898,336233,0.53620,0,none,0.04271,14.22
1.4493,41.67,3371,322359,0.59813,0,none,0.04271,13.56
1.5000,30.23,2086,372595,0.48377,0,none,0.04271,14.95
1.4935,45.00,2018,359126,0.49198,0,none,0.04271,14.11
1.4700,38.21,1764,407458,0.48840,0,none,0.04271,14.52
1.4412,33.48,1524,355351,0.48758,0,none,0.04271,15.02
1.4755,33.38,1512,396396,0.50914,0,none,0.04271,15.09
1.4307,35.18,2510,325284,0.50796,0,none,0.04271,14.18
1.4569,27.98,1805,387112,0.55435,0,none,0.04271,15.28
1.4315,41.82,2012,370772,0.48945,0,none,0.04271,14.10
1.4303,36.40,1326,439930,0.52305,0,none,0.04271,15.13
1.4680,32.44,1609,353678,0.49459,0,none,0.04271,15.05
1.4933,32.60,1150,442861,0.69503,0,none,0.04271,15.80
1.4198,29.55,1343,378620,0.61120,0,none,0.04271,15.49
1.4631,34.45,1806,383127,0.48357,0,none,0.04271,14.68
1.4110,29.35,1936,381620,0.48104,0,none,0.04271,14.91
