scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,3143.3,0
1,-0.032,-0.128,3125.1,0
2,-0.016,-0.128,3125.1,0
3,0.000,-0.128,3125.1,0
4,0.016,-0.128,3125.1,0
5,0.032,-0.128,3124.7,0
6,0.048,-0.128,3124.7,0
7,0.080,-0.112,3119.1,0
8,0.064,-0.112,3124.7,0
9,0.048,-0.112,3124.7,0
10,0.032,-0.112,3124.7,0
11,0.016,-0.112,3124.7,0
12,0.000,-0.112,3125.1,0
13,-0.016,-0.112,3125.1,0
14,-0.032,-0.112,3125.1,0
15,-0.048,-0.112,3125.1,0
16,-0.064,-0.112,3125.1,0
17,-0.080,-0.112,3125.1,0
18,-0.096,-0.096,3134.2,0
19,-0.080,-0.096,3125.1,0
20,-0.064,-0.096,3125.1,0
21,-0.048,-0.096,3125.1,0
22,-0.032,-0.096,3125.1,0
23,-0.016,-0.096,3125.1,0
24,0.000,-0.096,3125.1,0
25,0.016,-0.096,3125.1,0
26,0.032,-0.096,3125.1,0
27,0.048,-0.096,3125.1,0
28,0.064,-0.096,3125.1,0
29,0.080,-0.096,3125.1,0
30,0.096,-0.096,3125.1,0
31,0.112,-0.080,3126.5,0
32,0.096,-0.080,3125.1,0
33,0.080,-0.080,3125.1,0
34,0.064,-0.080,3125.1,0
35,0.048,-0.080,3125.1,0
36,0.032,-0.080,3125.1,0
37,0.016,-0.080,3125.1,0
38,0.000,-0.080,3125.1,0
39,-0.016,-0.080,3125.1,0
40,-0.032,-0.080,3125.1,0
41,-0.048,-0.080,3125.1,0
42,-0.064,-0.080,3125.1,0
43,-0.080,-0.080,3125.1,0
44,-0.096,-0.080,3125.1,0
45,-0.112,-0.080,3125.1,0
46,-0.112,-0.064,3134.2,0
47,-0.096,-0.064,3125.1,0
48,-0.080,-0.064,3125.1,0
49,-0.064,-0.064,3125.1,0
50,-0.048,-0.064,3125.1,0
51,-0.032,-0.064,3125.1,0
52,-0.016,-0.064,3125.1,0
53,0.000,-0.064,3125.1,0
54,0.016,-0.064,3125.1,0
55,0.032,-0.064,3125.1,0
56,0.048,-0.064,3125.1,0
57,0.064,-0.064,3125.1,0
58,0.080,-0.064,3125.1,0
59,0.096,-0.064,3125.1,0
60,0.112,-0.064,3125.1,0
61,0.128,-0.048,3126.5,0
62,0.112,-0.048,3125.1,0
63,0.096,-0.048,3125.1,0
64,0.080,-0.048,3125.1,0
65,0.064,-0.048,3125.1,0
66,0.048,-0.048,3125.1,0
67,0.032,-0.048,3125.1,0
68,0.016,-0.048,3125.1,0
69,0.000,-0.048,3125.1,0
70,-0.016,-0.048,3125.1,0
71,-0.032,-0.048,3125.1,0
72,-0.048,-0.048,3125.1,0
73,-0.064,-0.048,3125.1,0
74,-0.080,-0.048,3125.1,0
75,-0.096,-0.048,3125.1,0
76,-0.112,-0.048,3125.1,0
77,-0.128,-0.048,3125.1,0
78,-0.128,-0.032,3134.2,0
79,-0.112,-0.032,3125.1,0
80,-0.096,-0.032,3125.1,0
81,-0.080,-0.032,3125.1,0
82,-0.064,-0.032,3125.1,0
83,-0.048,-0.032,3125.1,0
84,-0.032,-0.032,3125.1,0
85,-0.016,-0.032,3125.1,0
86,0.000,-0.032,3125.1,0
87,0.016,-0.032,3125.1,0
88,0.032,-0.032,3125.1,0
89,0.048,-0.032,3125.1,0
90,0.064,-0.032,3125.1,0
91,0.080,-0.032,3125.1,0
92,0.096,-0.032,3125.1,0
93,0.112,-0.032,3125.1,0
94,0.128,-0.032,3125.1,0
95,0.128,-0.016,3126.5,0
96,0.112,-0.016,3125.1,0
97,0.096,-0.016,3125.1,0
98,0.080,-0.016,3124.7,0
99,0.064,-0.016,3124.7,0
100,0.048,-0.016,3124.7,0
101,0.032,-0.016,3124.7,0
102,0.016,-0.016,3124.7,0
103,0.000,-0.016,3124.7,0
104,-0.016,-0.016,3124.7,0
105,-0.032,-0.016,3124.7,0
106,-0.048,-0.016,3124.7,0
107,-0.064,-0.016,3124.7,0
