scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,3143.3,0
1,-0.032,-0.128,6375.6,1
2,-0.016,-0.128,6375.6,1
3,0.000,-0.128,6375.6,1
4,0.016,-0.128,6375.6,1
5,0.032,-0.128,6375.6,1
6,0.048,-0.128,6375.6,1
7,0.080,-0.112,9807.1,1
8,0.064,-0.112,6137.1,0
9,0.048,-0.112,6137.0,0
10,0.032,-0.112,6137.0,0
11,0.016,-0.112,6137.0,0
12,0.000,-0.112,6137.0,0
13,-0.016,-0.112,6137.0,0
14,-0.032,-0.112,6137.0,0
15,-0.048,-0.112,6137.0,0
16,-0.064,-0.112,6137.0,0
17,-0.080,-0.112,6375.6,1
18,-0.096,-0.096,3604.8,0
19,-0.080,-0.096,6375.5,1
20,-0.064,-0.096,6375.6,1
21,-0.048,-0.096,6375.6,1
22,-0.032,-0.096,6375.6,1
23,-0.016,-0.096,6375.6,1
24,0.000,-0.096,6375.6,1
25,0.016,-0.096,6375.6,1
26,0.032,-0.096,6375.6,1
27,0.048,-0.096,6375.6,1
28,0.064,-0.096,6375.6,1
29,0.080,-0.096,6375.6,1
30,0.096,-0.096,6375.6,1
31,0.112,-0.080,9807.1,1
32,0.096,-0.080,6375.6,1
33,0.080,-0.080,6375.6,1
34,0.064,-0.080,6375.6,1
35,0.048,-0.080,6375.6,1
36,0.032,-0.080,6375.6,1
37,0.016,-0.080,6375.6,1
38,0.000,-0.080,6375.6,1
39,-0.016,-0.080,6375.6,1
40,-0.032,-0.080,6375.6,1
41,-0.048,-0.080,6375.6,1
42,-0.064,-0.080,6375.6,1
43,-0.080,-0.080,6375.6,1
44,-0.096,-0.080,6375.6,1
45,-0.112,-0.080,6375.6,1
46,-0.112,-0.064,3604.8,0
47,-0.096,-0.064,6375.5,1
48,-0.080,-0.064,6375.6,1
49,-0.064,-0.064,6375.6,1
50,-0.048,-0.064,6375.6,1
51,-0.032,-0.064,6375.6,1
52,-0.016,-0.064,6375.6,1
53,0.000,-0.064,6375.6,1
54,0.016,-0.064,6375.6,1
55,0.032,-0.064,6375.6,1
56,0.048,-0.064,6375.6,1
57,0.064,-0.064,6375.6,1
58,0.080,-0.064,6375.6,1
59,0.096,-0.064,6375.6,1
60,0.112,-0.064,6375.6,1
61,0.128,-0.048,9807.1,1
62,0.112,-0.048,6375.6,1
63,0.096,-0.048,6375.6,1
64,0.080,-0.048,6375.6,1
65,0.064,-0.048,6375.6,1
66,0.048,-0.048,6375.6,1
67,0.032,-0.048,6375.6,1
68,0.016,-0.048,6375.6,1
69,0.000,-0.048,6375.6,1
70,-0.016,-0.048,6375.6,1
71,-0.032,-0.048,6375.6,1
72,-0.048,-0.048,6375.6,1
73,-0.064,-0.048,6375.6,1
74,-0.080,-0.048,6375.6,1
75,-0.096,-0.048,6375.6,1
76,-0.112,-0.048,6375.6,1
77,-0.128,-0.048,6375.6,1
78,-0.128,-0.032,3604.8,0
79,-0.112,-0.032,6375.5,1
80,-0.096,-0.032,6375.6,1
81,-0.080,-0.032,6375.6,1
82,-0.064,-0.032,6375.6,1
83,-0.048,-0.032,6375.6,1
84,-0.032,-0.032,6375.6,1
85,-0.016,-0.032,6375.6,1
86,0.000,-0.032,6375.6,1
87,0.016,-0.032,6375.6,1
88,0.032,-0.032,6375.6,1
89,0.048,-0.032,6375.6,1
90,0.064,-0.032,6375.6,1
91,0.080,-0.032,6375.6,1
92,0.096,-0.032,6375.6,1
93,0.112,-0.032,6375.6,1
94,0.128,-0.032,6375.6,1
95,0.128,-0.016,9807.1,1
96,0.112,-0.016,6375.6,1
97,0.096,-0.016,6375.6,1
98,0.080,-0.016,6375.6,1
99,0.064,-0.016,6375.6,1
100,0.048,-0.016,6375.6,1
101,0.032,-0.016,6375.6,1
102,0.016,-0.016,6375.6,1
103,0.000,-0.016,6375.6,1
104,-0.016,-0.016,6375.6,1
105,-0.032,-0.016,6375.6,1
106,-0.048,-0.016,6375.6,1
107,-0.064,-0.016,6375.6,1
108,-0.080,-0.016,6375.6,1
109,-0.096,-0.016,6375.6,1
110,-0.112,-0.016,6375.6,1
111,-0.128,-0.016,6375.6,1
112,-0.128,0.000,3604.8,0
113,-0.112,0.000,6375.5,1
114,-0.096,0.000,6375.6,1
115,-0.080,0.000,6375.6,1
116,-0.064,0.000,6375.6,1
117,-0.048,0.000,6375.6,1
118,-0.032,0.000,6375.6,1
119,-0.016,0.000,6375.6,1
120,0.000,0.000,6375.6,1
121,0.016,0.000,6375.6,1
122,0.032,0.000,6375.6,1
123,0.048,0.000,6375.6,1
124,0.064,0.000,6375.6,1
125,0.080,0.000,6375.6,1
126,0.096,0.000,6375.6,1
127,0.112,0.000,6375.6,1
128,0.128,0.000,6375.6,1
129,0.128,0.016,9807.1,1
130,0.112,0.016,6375.6,1
131,0.096,0.016,6375.6,1
132,0.080,0.016,6375.6,1
133,0.064,0.016,6375.6,1
134,0.048,0.016,6375.6,1
135,0.032,0.016,6375.6,1
136,0.016,0.016,6375.6,1
137,0.000,0.016,6375.6,1
138,-0.016,0.016,6375.6,1
139,-0.032,0.016,6375.6,1
140,-0.048,0.016,6375.6,1
141,-0.064,0.016,6137.0,0
142,-0.080,0.016,6137.0,0
143,-0.096,0.016,6137.0,0
144,-0.112,0.016,6137.0,0
145,-0.128,0.016,6137.0,0
146,-0.128,0.032,3378.5,0
147,-0.112,0.032,6137.0,0
148,-0.096,0.032,6137.0,0
149,-0.080,0.032,6137.0,0
150,-0.064,0.032,6137.0,0
151,-0.048,0.032,6137.0,0
152,-0.032,0.032,6137.0,0
153,-0.016,0.032,6137.0,0
154,0.000,0.032,6137.0,0
155,0.016,0.032,6137.0,0
156,0.032,0.032,6137.0,0
157,0.048,0.032,6137.0,0
158,0.064,0.032,6137.0,0
159,0.080,0.032,6137.0,0
160,0.096,0.032,6137.0,0
161,0.112,0.032,6137.0,0
162,0.128,0.032,6137.0,0
163,0.128,0.048,9666.8,1
164,0.112,0.048,6137.1,0
165,0.096,0.048,6137.0,0
166,0.080,0.048,6137.0,0
167,0.064,0.048,6137.0,0
168,0.048,0.048,6137.0,0
169,0.032,0.048,6137.0,0
170,0.016,0.048,6137.0,0
171,0.000,0.048,6137.0,0
172,-0.016,0.048,6137.0,0
173,-0.032,0.048,6137.0,0
174,-0.048,0.048,6137.0,0
175,-0.064,0.048,6137.0,0
176,-0.080,0.048,6137.0,0
177,-0.096,0.048,6137.0,0
178,-0.112,0.048,6137.0,0
179,-0.128,0.048,6137.0,0
180,-0.112,0.064,3378.5,0
181,-0.096,0.064,6137.0,0
182,-0.080,0.064,6137.0,0
183,-0.064,0.064,6137.0,0
184,-0.048,0.064,6137.0,0
185,-0.032,0.064,6137.0,0
186,-0.016,0.064,6137.0,0
187,0.000,0.064,6137.0,0
188,0.016,0.064,6137.0,0
189,0.032,0.064,6137.0,0
190,0.048,0.064,6137.0,0
191,0.064,0.064,6137.0,0
192,0.080,0.064,6137.0,0
193,0.096,0.064,6137.0,0
194,0.112,0.064,6137.0,0
195,0.112,0.080,9666.8,1
196,0.096,0.080,6137.1,0
197,0.080,0.080,6137.0,0
198,0.064,0.080,6137.0,0
199,0.048,0.080,6137.0,0
200,0.032,0.080,6137.0,0
201,0.016,0.080,6137.0,0
202,0.000,0.080,6137.0,0
203,-0.016,0.080,6137.0,0
204,-0.032,0.080,6137.0,0
205,-0.048,0.080,6137.0,0
206,-0.064,0.080,6137.0,0
207,-0.080,0.080,6137.0,0
208,-0.096,0.080,6137.0,0
209,-0.112,0.080,6137.0,0
210,-0.096,0.096,3378.5,0
211,-0.080,0.096,6137.0,0
212,-0.064,0.096,6137.0,0
213,-0.048,0.096,6137.0,0
214,-0.032,0.096,6137.0,0
215,-0.016,0.096,6137.0,0
216,0.000,0.096,6137.0,0
217,0.016,0.096,6137.0,0
218,0.032,0.096,6137.0,0
219,0.048,0.096,6137.0,0
220,0.064,0.096,6137.0,0
221,0.080,0.096,6137.0,0
222,0.096,0.096,6137.0,0
223,0.080,0.112,9666.8,1
224,0.064,0.112,6137.1,0
225,0.048,0.112,6137.0,0
226,0.032,0.112,6137.0,0
227,0.016,0.112,6137.0,0
228,0.000,0.112,6137.0,0
