v,a,j,s,cost,failing,label,j_map,t_wafer
0.8000,20.00,1600,100000,0.89141,4,none,0.03785,14.46
1.2573,41.51,3112,366101,0.63795,0,none,0.04271,12.87
0.9067,42.40,4116,6356,1.27842,49,Center,2.00000,12.18
1.3146,6.34,3702,91950,4.34372,0,none,0.04271,29.02
1.3221,26.66,1639,214230,0.56037,0,none,0.04271,14.99
0.2368,9.97,3419,325359,2.23822,49,Center,2.00000,16.58
1.3011,26.06,1637,162197,0.56254,0,none,0.04271,15.01
1.3014,23.02,1185,290027,0.83893,0,none,0.04271,16.00
1.1345,22.78,3328,187718,0.65978,4,none,0.03785,14.28
1.3238,8.01,2731,117676,3.27554,0,none,0.04271,25.02
1.3221,26.66,1639,214230,0.56037,0,none,0.04271,14.99
0.7916,12.44,1851,181112,1.27447,4,none,0.03785,16.23
1.5000,30.53,1661,233028,0.51150,0,none,0.04271,15.01
1.2931,28.54,1908,229166,0.55894,0,none,0.04271,14.47
1.2750,15.70,928,332064,1.44347,0,none,0.04271,18.20
1.3282,15.08,922,257951,1.59771,0,none,0.04271,18.77
1.3221,26.66,1639,214230,0.56037,0,none,0.04271,14.99
1.4416,15.23,660,97656,1.86378,0,none,0.04271,19.97
1.5000,33.21,1676,275527,0.50776,0,none,0.04271,14.76
1.5000,33.42,2242,194882,0.51255,0,none,0.04271,14.25
1.3724,29.99,3328,323851,0.56983,0,none,0.04271,13.86
1.4307,35.08,200,329379,8.57000,0,none,0.04271,45.12
1.5000,27.35,1666,215795,0.61408,0,none,0.04271,15.38
1.5000,21.84,1139,325250,1.05998,0,none,0.04271,17.01
1.5000,34.82,1685,301026,0.50899,0,none,0.04271,14.64
1.5000,36.27,2331,249963,0.51612,0,none,0.04271,13.97
1.5000,41.18,4319,283335,0.62871,0,none,0.04271,12.90
1.4177,42.57,2569,270624,0.52785,0,none,0.04271,13.34
1.5000,32.52,1670,222350,0.50768,0,none,0.04271,14.82
1.5000,37.36,1492,434303,0.50810,0,none,0.04271,14.78
1.5000,34.31,1677,281237,0.50840,0,none,0.04271,14.68
1.5000,33.78,1665,252604,0.50840,0,none,0.04271,14.74
1.5000,25.73,2972,207440,0.50766,0,none,0.04271,14.96
1.5000,38.59,3166,173621,0.53547,0,none,0.04271,13.40
1.5000,35.63,1672,226282,0.50920,0,none,0.04271,14.61
1.5000,44.49,1902,432872,0.51581,0,none,0.04271,13.99
1.5000,33.36,3021,180451,0.51742,0,none,0.04271,13.88
1.5000,27.51,3058,192603,0.50893,0,none,0.04271,14.62
1.5000,16.46,2164,161902,1.34970,0,none,0.04271,18.07
1.4858,29.01,3082,153192,0.51124,0,none,0.04271,14.35
1.5000,25.35,1744,205337,0.68047,0,none,0.04271,15.62
1.5000,31.32,2099,310028,0.50951,0,none,0.04271,14.55
1.5000,29.71,2706,169537,0.51059,0,none,0.04271,14.42
1.5000,27.18,2120,177844,0.52512,0,none,0.04271,15.06
1.5000,15.50,2931,203605,1.43938,0,none,0.04271,18.40
1.4775,19.99,2921,190000,0.87364,0,none,0.04271,16.33
1.5000,20.45,3350,206898,0.83443,0,none,0.04271,16.18
1.5000,22.26,2519,256390,0.74805,0,none,0.04271,15.87
