scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,3143.3,0
1,-0.032,-0.128,10329.1,1
2,-0.016,-0.128,10334.2,1
3,0.000,-0.128,10334.2,1
4,0.016,-0.128,10334.2,1
5,0.032,-0.128,10334.2,1
6,0.048,-0.128,10334.2,1
7,0.080,-0.112,15378.0,1
8,0.064,-0.112,9924.4,1
9,0.048,-0.112,9936.6,1
10,0.032,-0.112,9935.8,1
11,0.016,-0.112,9936.6,1
12,0.000,-0.112,9935.8,1
13,-0.016,-0.112,9936.6,1
14,-0.032,-0.112,9935.8,1
15,-0.048,-0.112,9936.6,1
16,-0.064,-0.112,9935.8,1
17,-0.080,-0.112,9936.6,1
18,-0.096,-0.096,5965.9,0
19,-0.080,-0.096,10334.2,1
20,-0.064,-0.096,10334.2,1
21,-0.048,-0.096,10334.2,1
22,-0.032,-0.096,10334.2,1
23,-0.016,-0.096,10334.2,1
24,0.000,-0.096,10334.2,1
25,0.016,-0.096,10334.2,1
26,0.032,-0.096,10334.2,1
27,0.048,-0.096,10334.2,1
28,0.064,-0.096,10334.2,1
29,0.080,-0.096,10334.2,1
30,0.096,-0.096,10334.2,1
31,0.112,-0.080,15378.0,1
32,0.096,-0.080,10324.6,1
33,0.080,-0.080,10334.2,1
34,0.064,-0.080,10334.2,1
35,0.048,-0.080,10334.2,1
36,0.032,-0.080,10334.2,1
37,0.016,-0.080,10334.2,1
38,0.000,-0.080,10334.2,1
39,-0.016,-0.080,10334.2,1
40,-0.032,-0.080,10334.2,1
41,-0.048,-0.080,10334.2,1
42,-0.064,-0.080,10334.2,1
43,-0.080,-0.080,10334.2,1
44,-0.096,-0.080,10334.2,1
45,-0.112,-0.080,10334.2,1
46,-0.112,-0.064,5965.6,0
47,-0.096,-0.064,10334.2,1
48,-0.080,-0.064,10334.2,1
49,-0.064,-0.064,10334.2,1
50,-0.048,-0.064,10334.2,1
51,-0.032,-0.064,10334.2,1
52,-0.016,-0.064,10334.2,1
53,0.000,-0.064,10334.2,1
54,0.016,-0.064,10334.2,1
55,0.032,-0.064,10334.2,1
56,0.048,-0.064,10334.2,1
57,0.064,-0.064,10334.2,1
58,0.080,-0.064,10334.2,1
59,0.096,-0.064,10334.2,1
60,0.112,-0.064,10334.2,1
61,0.128,-0.048,15377.9,1
62,0.112,-0.048,10324.6,1
63,0.096,-0.048,10334.2,1
64,0.080,-0.048,10334.2,1
65,0.064,-0.048,10334.2,1
66,0.048,-0.048,10334.2,1
67,0.032,-0.048,10334.2,1
68,0.016,-0.048,10334.2,1
69,0.000,-0.048,10334.2,1
70,-0.016,-0.048,10334.2,1
71,-0.032,-0.048,10334.2,1
72,-0.048,-0.048,10334.2,1
73,-0.064,-0.048,10334.2,1
74,-0.080,-0.048,10334.2,1
75,-0.096,-0.048,10334.2,1
76,-0.112,-0.048,10334.2,1
77,-0.128,-0.048,10334.2,1
78,-0.128,-0.032,5965.6,0
79,-0.112,-0.032,10334.2,1
80,-0.096,-0.032,10334.2,1
81,-0.080,-0.032,10334.2,1
82,-0.064,-0.032,10334.2,1
83,-0.048,-0.032,10334.2,1
84,-0.032,-0.032,10334.2,1
85,-0.016,-0.032,10334.2,1
86,0.000,-0.032,10334.2,1
87,0.016,-0.032,10334.2,1
88,0.032,-0.032,10334.2,1
89,0.048,-0.032,10334.2,1
90,0.064,-0.032,10334.2,1
91,0.080,-0.032,10334.2,1
92,0.096,-0.032,10334.2,1
93,0.112,-0.032,10334.2,1
94,0.128,-0.032,10334.2,1
95,0.128,-0.016,15377.9,1
96,0.112,-0.016,10324.6,1
97,0.096,-0.016,10334.2,1
98,0.080,-0.016,10334.2,1
99,0.064,-0.016,10334.2,1
100,0.048,-0.016,10334.2,1
101,0.032,-0.016,10334.2,1
102,0.016,-0.016,10334.2,1
103,0.000,-0.016,10334.2,1
104,-0.016,-0.016,10334.2,1
105,-0.032,-0.016,10334.2,1
106,-0.048,-0.016,10334.2,1
107,-0.064,-0.016,10334.2,1
108,-0.080,-0.016,10334.2,1
109,-0.096,-0.016,10334.2,1
110,-0.112,-0.016,10334.2,1
111,-0.128,-0.016,10334.2,1
112,-0.128,0.000,5965.6,0
113,-0.112,0.000,10334.2,1
114,-0.096,0.000,10334.2,1
115,-0.080,0.000,10334.2,1
116,-0.064,0.000,10334.2,1
117,-0.048,0.000,10334.2,1
