scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,398.1,0
1,-0.032,-0.128,2306.8,1
2,-0.016,-0.128,2306.0,1
3,0.000,-0.128,2306.9,1
4,0.016,-0.128,2306.0,1
5,0.032,-0.128,2306.9,1
6,0.048,-0.128,2306.0,1
7,0.080,-0.112,3416.4,1
8,0.064,-0.112,2218.2,1
9,0.048,-0.112,2217.6,1
10,0.032,-0.112,2219.1,1
11,0.016,-0.112,2217.6,1
12,0.000,-0.112,2219.1,1
13,-0.016,-0.112,2217.6,1
14,-0.032,-0.112,2219.1,1
15,-0.048,-0.112,2306.8,1
16,-0.064,-0.112,2306.0,1
17,-0.080,-0.112,2306.9,1
18,-0.096,-0.096,1027.9,0
19,-0.080,-0.096,2308.2,1
20,-0.064,-0.096,2306.0,1
21,-0.048,-0.096,2306.9,1
22,-0.032,-0.096,2306.0,1
23,-0.016,-0.096,2306.9,1
24,0.000,-0.096,2306.0,1
25,0.016,-0.096,2306.9,1
26,0.032,-0.096,2306.0,1
27,0.048,-0.096,2306.9,1
28,0.064,-0.096,2306.0,1
29,0.080,-0.096,2306.9,1
30,0.096,-0.096,2306.0,1
31,0.112,-0.080,3550.3,1
32,0.096,-0.080,2308.1,1
33,0.080,-0.080,2305.7,1
34,0.064,-0.080,2307.0,1
35,0.048,-0.080,2305.7,1
36,0.032,-0.080,2307.0,1
37,0.016,-0.080,2305.7,1
38,0.000,-0.080,2306.9,1
39,-0.016,-0.080,2305.7,1
40,-0.032,-0.080,2306.9,1
41,-0.048,-0.080,2305.7,1
42,-0.064,-0.080,2306.9,1
43,-0.080,-0.080,2305.7,1
44,-0.096,-0.080,2307.0,1
45,-0.112,-0.080,2305.7,1
46,-0.112,-0.064,1027.8,0
47,-0.096,-0.064,2308.2,1
48,-0.080,-0.064,2306.0,1
49,-0.064,-0.064,2306.9,1
50,-0.048,-0.064,2306.0,1
51,-0.032,-0.064,2306.9,1
52,-0.016,-0.064,2306.0,1
53,0.000,-0.064,2306.9,1
54,0.016,-0.064,2306.0,1
55,0.032,-0.064,2306.9,1
56,0.048,-0.064,2306.0,1
57,0.064,-0.064,2306.9,1
58,0.080,-0.064,2306.0,1
59,0.096,-0.064,2306.9,1
60,0.112,-0.064,2306.0,1
61,0.128,-0.048,3550.3,1
62,0.112,-0.048,2308.1,1
63,0.096,-0.048,2305.7,1
64,0.080,-0.048,2307.0,1
65,0.064,-0.048,2305.7,1
66,0.048,-0.048,2307.0,1
67,0.032,-0.048,2305.7,1
68,0.016,-0.048,2306.9,1
69,0.000,-0.048,2305.7,1
70,-0.016,-0.048,2306.9,1
71,-0.032,-0.048,2305.7,1
72,-0.048,-0.048,2306.9,1
73,-0.064,-0.048,2305.7,1
74,-0.080,-0.048,2307.0,1
75,-0.096,-0.048,2305.7,1
76,-0.112,-0.048,2307.0,1
77,-0.128,-0.048,2305.7,1
78,-0.128,-0.032,1027.8,0
79,-0.112,-0.032,2308.2,1
80,-0.096,-0.032,2306.0,1
81,-0.080,-0.032,2306.9,1
82,-0.064,-0.032,2306.0,1
83,-0.048,-0.032,2306.9,1
84,-0.032,-0.032,2306.0,1
85,-0.016,-0.032,2306.9,1
86,0.000,-0.032,2306.0,1
87,0.016,-0.032,2306.9,1
88,0.032,-0.032,2306.0,1
89,0.048,-0.032,2306.9,1
90,0.064,-0.032,2306.0,1
91,0.080,-0.032,2306.9,1
92,0.096,-0.032,2306.0,1
93,0.112,-0.032,2306.9,1
94,0.128,-0.032,2306.0,1
95,0.128,-0.016,3550.3,1
96,0.112,-0.016,2308.1,1
97,0.096,-0.016,2305.7,1
98,0.080,-0.016,2307.0,1
99,0.064,-0.016,2305.7,1
100,0.048,-0.016,2307.0,1
101,0.032,-0.016,2305.7,1
102,0.016,-0.016,2306.9,1
103,0.000,-0.016,2305.7,1
104,-0.016,-0.016,2306.9,1
105,-0.032,-0.016,2305.7,1
106,-0.048,-0.016,2306.9,1
107,-0.064,-0.016,2305.7,1
108,-0.080,-0.016,2307.0,1
109,-0.096,-0.016,2305.7,1
110,-0.112,-0.016,2307.0,1
111,-0.128,-0.016,2305.7,1
112,-0.128,0.000,1027.8,0
113,-0.112,0.000,2308.2,1
114,-0.096,0.000,2306.0,1
115,-0.080,0.000,2306.9,1
116,-0.064,0.000,2306.0,1
117,-0.048,0.000,2306.9,1
118,-0.032,0.000,2306.0,1
119,-0.016,0.000,2306.9,1
120,0.000,0.000,2306.0,1
121,0.016,0.000,2306.9,1
122,0.032,0.000,2306.0,1
123,0.048,0.000,2306.9,1
124,0.064,0.000,2306.0,1
125,0.080,0.000,2306.9,1
126,0.096,0.000,2306.0,1
127,0.112,0.000,2306.9,1
128,0.128,0.000,2306.0,1
129,0.128,0.016,3416.4,1
130,0.112,0.016,2218.2,1
131,0.096,0.016,2217.6,1
132,0.080,0.016,2219.1,1
133,0.064,0.016,2217.6,1
134,0.048,0.016,2219.1,1
135,0.032,0.016,2217.6,1
136,0.016,0.016,2219.1,1
137,0.000,0.016,2217.6,1
138,-0.016,0.016,2219.1,1
139,-0.032,0.016,2217.6,1
140,-0.048,0.016,2219.1,1
141,-0.064,0.016,2217.6,1
142,-0.080,0.016,2219.1,1
143,-0.096,0.016,2217.6,1
144,-0.112,0.016,2219.1,1
145,-0.128,0.016,2217.6,1
146,-0.128,0.032,985.2,0
147,-0.112,0.032,2219.9,1
148,-0.096,0.032,2217.7,1
149,-0.080,0.032,2217.6,1
150,-0.064,0.032,2219.1,1
151,-0.048,0.032,2217.6,1
152,-0.032,0.032,2219.1,1
153,-0.016,0.032,2217.6,1
154,0.000,0.032,2219.1,1
